Entity,Code,Year,Number of civil conflicts with foreign state intervention,Number of civil conflicts,Number of conflicts between states,Number of colonial or imperial conflicts
Africa,,1946,0,0,0,0
Africa,,1947,0,0,0,1
Africa,,1948,0,0,0,0
Africa,,1949,0,0,0,0
Africa,,1950,0,0,0,0
Africa,,1951,0,0,0,0
Africa,,1952,0,0,0,1
Africa,,1953,0,0,0,3
Africa,,1954,0,0,0,4
Africa,,1955,0,0,0,4
Africa,,1956,0,0,0,4
Africa,,1957,0,0,0,4
Africa,,1958,0,0,0,4
Africa,,1959,0,0,0,2
Africa,,1960,1,2,0,1
Africa,,1961,0,3,1,2
Africa,,1962,0,2,0,2
Africa,,1963,0,1,1,2
Africa,,1964,1,4,1,3
Africa,,1965,0,4,0,3
Africa,,1966,0,6,0,3
Africa,,1967,0,7,0,3
Africa,,1968,0,6,0,3
Africa,,1969,1,4,0,3
Africa,,1970,1,4,0,3
Africa,,1971,1,7,0,3
Africa,,1972,1,4,0,3
Africa,,1973,0,3,0,3
Africa,,1974,0,4,0,2
Africa,,1975,2,5,0,0
Africa,,1976,2,9,0,0
Africa,,1977,4,9,1,0
Africa,,1978,4,9,2,0
Africa,,1979,3,8,0,0
Africa,,1980,6,7,1,0
Africa,,1981,5,9,0,0
Africa,,1982,2,10,0,0
Africa,,1983,3,12,1,0
Africa,,1984,2,10,0,0
Africa,,1985,2,8,1,0
Africa,,1986,3,10,0,0
Africa,,1987,3,10,1,0
Africa,,1988,2,9,0,0
Africa,,1989,2,10,0,0
Africa,,1990,2,11,0,0
Africa,,1991,1,17,0,0
Africa,,1992,1,14,0,0
Africa,,1993,1,10,0,0
Africa,,1994,1,14,0,0
Africa,,1995,1,10,0,0
Africa,,1996,2,9,1,0
Africa,,1997,3,11,0,0
Africa,,1998,5,11,1,0
Africa,,1999,5,10,1,0
Africa,,2000,3,11,1,0
Africa,,2001,3,13,0,0
Africa,,2002,2,13,0,0
Africa,,2003,1,11,0,0
Africa,,2004,1,9,0,0
Africa,,2005,1,7,0,0
Africa,,2006,2,8,0,0
Africa,,2007,1,11,0,0
Africa,,2008,2,10,1,0
Africa,,2009,3,10,0,0
Africa,,2010,4,6,0,0
Africa,,2011,5,10,0,0
Africa,,2012,5,7,1,0
Africa,,2013,7,7,0,0
Africa,,2014,7,7,0,0
Africa,,2015,10,11,0,0
Africa,,2016,8,13,1,0
Africa,,2017,10,9,0,0
Africa,,2018,11,10,0,0
Africa,,2019,17,9,0,0
Africa,,2020,17,13,0,0
Americas,,1946,0,1,0,0
Americas,,1947,0,1,0,0
Americas,,1948,0,1,0,0
Americas,,1949,0,1,0,0
Americas,,1950,0,0,0,1
Americas,,1951,0,0,0,0
Americas,,1952,0,1,0,0
Americas,,1953,0,1,0,0
Americas,,1954,0,2,0,0
Americas,,1955,0,1,0,0
Americas,,1956,0,1,0,0
Americas,,1957,0,1,1,0
Americas,,1958,0,1,0,0
Americas,,1959,0,0,0,0
Americas,,1960,0,0,0,0
Americas,,1961,1,0,0,0
Americas,,1962,0,1,0,0
Americas,,1963,0,2,0,0
Americas,,1964,0,1,0,0
Americas,,1965,0,4,0,0
Americas,,1966,0,2,0,0
Americas,,1967,0,3,0,0
Americas,,1968,0,2,0,0
Americas,,1969,0,2,1,0
Americas,,1970,0,2,0,0
Americas,,1971,0,2,0,0
Americas,,1972,0,4,0,0
Americas,,1973,0,3,0,0
Americas,,1974,0,3,0,0
Americas,,1975,0,3,0,0
Americas,,1976,0,3,0,0
Americas,,1977,0,4,0,0
Americas,,1978,0,3,0,0
Americas,,1979,0,4,0,0
Americas,,1980,0,3,0,0
Americas,,1981,0,3,0,0
Americas,,1982,0,6,1,0
Americas,,1983,0,5,1,0
Americas,,1984,0,5,0,0
Americas,,1985,0,5,0,0
Americas,,1986,0,5,0,0
Americas,,1987,0,6,0,0
Americas,,1988,0,5,0,0
Americas,,1989,0,8,1,0
Americas,,1990,0,6,0,0
Americas,,1991,0,5,0,0
Americas,,1992,0,4,0,0
Americas,,1993,0,3,0,0
Americas,,1994,0,4,0,0
Americas,,1995,0,3,1,0
Americas,,1996,0,3,0,0
Americas,,1997,0,2,0,0
Americas,,1998,0,2,0,0
Americas,,1999,0,2,0,0
Americas,,2000,0,1,0,0
Americas,,2001,1,1,1,0
Americas,,2002,1,1,0,0
Americas,,2003,1,1,1,0
Americas,,2004,1,2,0,0
Americas,,2005,1,1,0,0
Americas,,2006,1,1,0,0
Americas,,2007,1,2,0,0
Americas,,2008,1,2,0,0
Americas,,2009,1,2,0,0
Americas,,2010,1,2,0,0
Americas,,2011,1,1,0,0
Americas,,2012,1,1,0,0
Americas,,2013,1,1,0,0
Americas,,2014,1,1,0,0
Americas,,2015,1,1,0,0
Americas,,2016,1,1,0,0
Americas,,2017,1,0,0,0
Americas,,2018,0,1,0,0
Americas,,2019,1,1,0,0
Americas,,2020,0,1,0,0
Asia & Oceania,,1946,0,2,1,4
Asia & Oceania,,1947,0,4,0,4
Asia & Oceania,,1948,0,6,2,5
Asia & Oceania,,1949,0,8,2,5
Asia & Oceania,,1950,0,9,2,4
Asia & Oceania,,1951,0,7,1,4
Asia & Oceania,,1952,0,5,1,4
Asia & Oceania,,1953,0,6,1,4
Asia & Oceania,,1954,0,5,1,2
Asia & Oceania,,1955,0,5,0,1
Asia & Oceania,,1956,0,7,0,1
Asia & Oceania,,1957,0,7,0,1
Asia & Oceania,,1958,1,7,1,0
Asia & Oceania,,1959,1,10,0,0
Asia & Oceania,,1960,2,8,0,0
Asia & Oceania,,1961,1,10,0,0
Asia & Oceania,,1962,1,7,2,1
Asia & Oceania,,1963,2,7,1,0
Asia & Oceania,,1964,2,7,2,0
Asia & Oceania,,1965,2,7,3,0
Asia & Oceania,,1966,2,7,2,0
Asia & Oceania,,1967,1,9,2,0
Asia & Oceania,,1968,1,9,1,0
Asia & Oceania,,1969,1,9,3,0
Asia & Oceania,,1970,2,8,1,0
Asia & Oceania,,1971,2,9,2,0
Asia & Oceania,,1972,2,7,1,0
Asia & Oceania,,1973,2,8,1,0
Asia & Oceania,,1974,1,10,2,0
Asia & Oceania,,1975,1,12,2,0
Asia & Oceania,,1976,0,13,1,0
Asia & Oceania,,1977,0,13,2,0
Asia & Oceania,,1978,1,13,2,0
Asia & Oceania,,1979,1,12,2,0
Asia & Oceania,,1980,2,11,1,0
Asia & Oceania,,1981,2,13,1,0
Asia & Oceania,,1982,2,12,0,0
Asia & Oceania,,1983,2,11,1,0
Asia & Oceania,,1984,2,13,2,0
Asia & Oceania,,1985,2,12,0,0
Asia & Oceania,,1986,2,12,2,0
Asia & Oceania,,1987,2,13,3,0
Asia & Oceania,,1988,2,12,2,0
Asia & Oceania,,1989,2,10,1,0
Asia & Oceania,,1990,0,19,1,0
Asia & Oceania,,1991,0,14,1,0
Asia & Oceania,,1992,1,15,1,0
Asia & Oceania,,1993,1,12,0,0
Asia & Oceania,,1994,1,17,1,0
Asia & Oceania,,1995,1,14,0,0
Asia & Oceania,,1996,1,16,1,0
Asia & Oceania,,1997,0,17,1,0
Asia & Oceania,,1998,0,14,1,0
Asia & Oceania,,1999,0,15,1,0
Asia & Oceania,,2000,1,16,1,0
Asia & Oceania,,2001,1,13,2,0
Asia & Oceania,,2002,0,12,1,0
Asia & Oceania,,2003,1,13,2,0
Asia & Oceania,,2004,1,14,0,0
Asia & Oceania,,2005,1,15,0,0
Asia & Oceania,,2006,1,14,0,0
Asia & Oceania,,2007,1,13,0,0
Asia & Oceania,,2008,1,14,0,0
Asia & Oceania,,2009,1,14,0,0
Asia & Oceania,,2010,1,11,0,0
Asia & Oceania,,2011,1,11,1,0
Asia & Oceania,,2012,1,9,0,0
Asia & Oceania,,2013,1,13,1,0
Asia & Oceania,,2014,1,12,1,0
Asia & Oceania,,2015,3,11,1,0
Asia & Oceania,,2016,3,12,1,0
Asia & Oceania,,2017,4,12,1,0
Asia & Oceania,,2018,3,12,1,0
Asia & Oceania,,2019,2,12,1,0
Asia & Oceania,,2020,2,9,2,0
Europe,,1946,0,5,2,0
Europe,,1947,0,4,0,0
Europe,,1948,0,4,0,0
Europe,,1949,0,2,0,0
Europe,,1950,0,1,0,0
Europe,,1951,0,0,1,0
Europe,,1952,0,0,1,0
Europe,,1953,0,0,0,0
Europe,,1954,0,0,0,0
Europe,,1955,0,0,0,1
Europe,,1956,0,0,2,1
Europe,,1957,0,0,0,1
Europe,,1958,0,0,0,1
Europe,,1959,0,0,0,1
Europe,,1960,0,0,0,0
Europe,,1961,0,1,1,0
Europe,,1962,0,1,1,0
Europe,,1963,0,0,0,0
Europe,,1964,0,0,0,0
Europe,,1965,0,0,0,0
Europe,,1966,0,0,0,0
Europe,,1967,0,0,0,0
Europe,,1968,0,0,0,0
Europe,,1969,0,0,1,0
Europe,,1970,0,0,0,0
Europe,,1971,0,1,0,0
Europe,,1972,0,1,0,0
Europe,,1973,0,1,0,0
Europe,,1974,0,1,1,0
Europe,,1975,0,1,0,0
Europe,,1976,0,1,0,0
Europe,,1977,0,1,0,0
Europe,,1978,0,2,0,0
Europe,,1979,0,2,1,0
Europe,,1980,0,2,0,0
Europe,,1981,0,2,0,0
Europe,,1982,0,2,1,0
Europe,,1983,0,1,0,0
Europe,,1984,0,1,0,0
Europe,,1985,0,2,0,0
Europe,,1986,0,2,0,0
Europe,,1987,0,2,0,0
Europe,,1988,0,1,0,0
Europe,,1989,0,2,0,0
Europe,,1990,0,3,0,0
Europe,,1991,1,6,0,0
Europe,,1992,3,5,0,0
Europe,,1993,4,5,0,0
Europe,,1994,0,5,0,0
Europe,,1995,0,5,0,0
Europe,,1996,0,1,0,0
Europe,,1997,1,0,0,0
Europe,,1998,1,2,0,0
Europe,,1999,1,2,0,0
Europe,,2000,0,1,0,0
Europe,,2001,0,2,1,0
Europe,,2002,0,1,0,0
Europe,,2003,0,1,1,0
Europe,,2004,0,2,0,0
Europe,,2005,1,1,0,0
Europe,,2006,0,1,0,0
Europe,,2007,0,2,0,0
Europe,,2008,2,1,0,0
Europe,,2009,0,1,0,0
Europe,,2010,0,1,0,0
Europe,,2011,0,1,0,0
Europe,,2012,1,1,0,0
Europe,,2013,0,1,0,0
Europe,,2014,4,2,0,0
Europe,,2015,2,2,0,0
Europe,,2016,2,1,0,0
Europe,,2017,2,1,0,0
Europe,,2018,1,1,0,0
Europe,,2019,1,1,0,0
Europe,,2020,2,1,0,0
Middle East,,1946,2,0,0,1
Middle East,,1947,0,0,0,0
Middle East,,1948,0,1,1,0
Middle East,,1949,0,1,1,0
Middle East,,1950,0,1,0,0
Middle East,,1951,0,1,1,0
Middle East,,1952,0,1,1,0
Middle East,,1953,0,1,0,0
Middle East,,1954,0,1,0,0
Middle East,,1955,0,1,0,0
Middle East,,1956,0,1,1,0
Middle East,,1957,1,1,0,0
Middle East,,1958,0,3,0,0
Middle East,,1959,0,2,0,0
Middle East,,1960,0,1,0,0
Middle East,,1961,0,2,0,0
Middle East,,1962,1,2,0,0
Middle East,,1963,1,3,0,0
Middle East,,1964,1,2,0,1
Middle East,,1965,1,2,0,1
Middle East,,1966,1,4,0,1
Middle East,,1967,1,3,3,1
Middle East,,1968,1,3,0,0
Middle East,,1969,2,2,1,0
Middle East,,1970,2,2,1,0
Middle East,,1971,1,1,0,0
Middle East,,1972,1,1,1,0
Middle East,,1973,1,2,2,0
Middle East,,1974,1,2,2,0
Middle East,,1975,1,3,0,0
Middle East,,1976,0,3,0,0
Middle East,,1977,0,2,0,0
Middle East,,1978,0,2,0,0
Middle East,,1979,0,8,1,0
Middle East,,1980,0,7,1,0
Middle East,,1981,0,6,1,0
Middle East,,1982,1,7,1,0
Middle East,,1983,1,4,1,0
Middle East,,1984,1,5,1,0
Middle East,,1985,0,5,1,0
Middle East,,1986,0,7,1,0
Middle East,,1987,0,6,1,0
Middle East,,1988,0,5,1,0
Middle East,,1989,1,3,0,0
Middle East,,1990,1,5,1,0
Middle East,,1991,0,7,1,0
Middle East,,1992,0,6,0,0
Middle East,,1993,0,7,0,0
Middle East,,1994,0,6,0,0
Middle East,,1995,0,7,0,0
Middle East,,1996,0,7,0,0
Middle East,,1997,0,4,0,0
Middle East,,1998,0,3,0,0
Middle East,,1999,0,3,0,0
Middle East,,2000,0,3,0,0
Middle East,,2001,0,3,0,0
Middle East,,2002,0,2,0,0
Middle East,,2003,0,2,1,0
Middle East,,2004,1,2,0,0
Middle East,,2005,1,4,0,0
Middle East,,2006,1,4,0,0
Middle East,,2007,1,3,0,0
Middle East,,2008,1,3,0,0
Middle East,,2009,2,3,0,0
Middle East,,2010,2,3,0,0
Middle East,,2011,2,4,0,0
Middle East,,2012,1,5,0,0
Middle East,,2013,1,5,0,0
Middle East,,2014,2,6,0,0
Middle East,,2015,4,6,0,0
Middle East,,2016,4,7,0,0
Middle East,,2017,4,7,0,0
Middle East,,2018,4,7,1,0
Middle East,,2019,4,5,1,0
Middle East,,2020,4,4,1,0
World,OWID_WRL,1946,2,8,2,5
World,OWID_WRL,1947,0,9,0,5
World,OWID_WRL,1948,0,12,3,5
World,OWID_WRL,1949,0,12,3,5
World,OWID_WRL,1950,0,11,2,5
World,OWID_WRL,1951,0,8,2,4
World,OWID_WRL,1952,0,7,2,5
World,OWID_WRL,1953,0,8,1,7
World,OWID_WRL,1954,0,8,1,6
World,OWID_WRL,1955,0,7,0,6
World,OWID_WRL,1956,0,9,2,6
World,OWID_WRL,1957,1,9,1,6
World,OWID_WRL,1958,1,11,1,5
World,OWID_WRL,1959,1,12,0,3
World,OWID_WRL,1960,3,11,0,1
World,OWID_WRL,1961,2,16,1,2
World,OWID_WRL,1962,2,13,2,3
World,OWID_WRL,1963,3,13,2,2
World,OWID_WRL,1964,4,14,3,4
World,OWID_WRL,1965,3,17,3,4
World,OWID_WRL,1966,3,19,2,4
World,OWID_WRL,1967,2,22,5,4
World,OWID_WRL,1968,2,20,1,3
World,OWID_WRL,1969,4,17,5,3
World,OWID_WRL,1970,5,16,2,3
World,OWID_WRL,1971,4,20,2,3
World,OWID_WRL,1972,4,17,2,3
World,OWID_WRL,1973,3,17,3,3
World,OWID_WRL,1974,2,20,4,2
World,OWID_WRL,1975,4,24,2,0
World,OWID_WRL,1976,2,29,1,0
World,OWID_WRL,1977,4,29,3,0
World,OWID_WRL,1978,5,29,4,0
World,OWID_WRL,1979,4,34,3,0
World,OWID_WRL,1980,8,30,3,0
World,OWID_WRL,1981,7,33,2,0
World,OWID_WRL,1982,5,37,2,0
World,OWID_WRL,1983,6,33,4,0
World,OWID_WRL,1984,5,34,3,0
World,OWID_WRL,1985,4,32,2,0
World,OWID_WRL,1986,5,36,3,0
World,OWID_WRL,1987,5,37,5,0
World,OWID_WRL,1988,4,32,3,0
World,OWID_WRL,1989,5,33,2,0
World,OWID_WRL,1990,3,44,2,0
World,OWID_WRL,1991,2,49,2,0
World,OWID_WRL,1992,5,44,1,0
World,OWID_WRL,1993,6,37,0,0
World,OWID_WRL,1994,2,46,1,0
World,OWID_WRL,1995,2,39,1,0
World,OWID_WRL,1996,3,36,2,0
World,OWID_WRL,1997,4,34,1,0
World,OWID_WRL,1998,6,32,2,0
World,OWID_WRL,1999,6,32,2,0
World,OWID_WRL,2000,4,32,2,0
World,OWID_WRL,2001,5,32,2,0
World,OWID_WRL,2002,3,29,1,0
World,OWID_WRL,2003,3,28,2,0
World,OWID_WRL,2004,4,29,0,0
World,OWID_WRL,2005,5,28,0,0
World,OWID_WRL,2006,5,28,0,0
World,OWID_WRL,2007,4,31,0,0
World,OWID_WRL,2008,7,30,1,0
World,OWID_WRL,2009,7,30,0,0
World,OWID_WRL,2010,8,23,0,0
World,OWID_WRL,2011,9,27,1,0
World,OWID_WRL,2012,9,23,1,0
World,OWID_WRL,2013,10,27,1,0
World,OWID_WRL,2014,15,28,1,0
World,OWID_WRL,2015,20,31,1,0
World,OWID_WRL,2016,18,34,2,0
World,OWID_WRL,2017,21,29,1,0
World,OWID_WRL,2018,19,31,2,0
World,OWID_WRL,2019,25,28,2,0
World,OWID_WRL,2020,25,28,3,0